phonogram3967index,index,type,zhuyin,tone,stroke,orthographicgroup,phoneticradical,homograph_cnts,homophone_cnts,freq_char,freq_char(log),freq_char_4.0,freq_char_4.0(log),fre_cd,xasbc_cf_million,freq_syllable_4.0,freq_syllable_4.0(log),phoneticcom,FF_friends,FF(type),FF(1500),FF(2000),FF(log),FB_group_code,FB_total,FB_friend,FB_total_freq,FB_freq_friend,FB_freq_enemy,FB(type),FB(token),FB(1500),FB(5000),FB(log),註記,說明
0,1,八,ㄅㄚ,1,2,八,.,1,9,29652,4.47 ,15891,4.201151228,6114,1013.41 ,24429,4.39 ,.,.,.,.,.,.,1,9,2,24429,16024,8405,0.22 ,0.66 ,0.32 ,0.38 ,0.30 ,,
3942,2,叭,ㄅㄚ,1,5,八,八,1,9,67,1.83 ,133,2.123851641,94,8.75 ,24429,4.39 ,3,1,0.333333333,0.414330218,0.414330218,0.352055876,1,9,2,24429,16024,8405,0.22 ,0.66 ,0.32 ,0.38 ,0.30 ,,
0,3,巴,ㄅㄚ,1,4,巴,.,2,9,3239,3.51 ,4060,3.608526034,1519,295.90 ,24429,4.39 ,.,.,.,.,.,.,2,9,6,24429,8396,16033,0.67 ,0.34 ,0.68 ,0.62 ,0.65 ,,
3630,4,吧,ㄅㄚ,1,7,巴,巴,2,9,603,2.78 ,3794,3.579097327,1714,209.94 ,24429,4.39 ,16,9,0.5625,0.76497749,0.809059364,0.645735997,2,9,6,24429,8396,16033,0.67 ,0.34 ,0.68 ,0.62 ,0.65 ,,
3633,5,疤,ㄅㄚ,1,9,巴,巴,1,9,44,1.64 ,151,2.178976947,76,7.46 ,24429,4.39 ,16,9,0.5625,0.76497749,0.809059364,0.645735997,2,9,6,24429,8396,16033,0.67 ,0.34 ,0.68 ,0.62 ,0.65 ,,
3632,6,芭,ㄅㄚ,1,8,巴,巴,1,9,149,2.17 ,357,2.552668216,140,26.55 ,24429,4.39 ,16,9,0.5625,0.76497749,0.809059364,0.645735997,2,9,6,24429,8396,16033,0.67 ,0.34 ,0.68 ,0.62 ,0.65 ,,
3634,7,笆,ㄅㄚ,1,10,巴,巴,1,9,13,1.11 ,32,1.505149978,19,2.01 ,24429,4.39 ,16,9,0.5625,0.76497749,0.809059364,0.645735997,2,9,6,24429,8396,16033,0.67 ,0.34 ,0.68 ,0.62 ,0.65 ,,
3635,8,粑,ㄅㄚ,1,10,巴,巴,1,9,9,0.95 ,2,0.301029996,2,0.00 ,24429,4.39 ,16,9,0.5625,0.76497749,0.809059364,0.645735997,2,9,6,24429,8396,16033,0.67 ,0.34 ,0.68 ,0.62 ,0.65 ,,
0,10,捌,ㄅㄚ,1,10,別,別,1,9,10,1.00 ,9,0.954242509,6,0.86 ,24429,4.39 ,1,1,1,1,1,1,3,9,1,24429,9,24420,0.11 ,0.00 ,0.00 ,0.00 ,0.05 ,,
3045,15,拔,ㄅㄚ,2,8,犮,犮,1,3,887,2.95 ,1017,3.007320953,614,74.91 ,1145,3.06 ,6,3,0.5,0.432565168,0.394963781,0.644168533,1,3,3,1145,1145,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
3046,16,跋,ㄅㄚ,2,12,犮,犮,1,3,40,1.60 ,122,2.086359831,90,7.03 ,1145,3.06 ,6,3,0.5,0.432565168,0.394963781,0.644168533,1,3,3,1145,1145,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
3044,17,鈸,ㄅㄚ,2,13,犮,犮,1,3,6,0.78 ,6,0.77815125,5,0.29 ,1145,3.06 ,6,3,0.5,0.432565168,0.394963781,0.644168533,1,3,3,1145,1145,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
3636,13,把,ㄅㄚ,3,7,巴,巴,1,2,6302,3.80 ,13578,4.132835804,4911,950.41 ,13663,4.14 ,16,9,0.5625,0.76497749,0.809059364,0.645735997,1,2,2,13663,13663,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
3637,14,靶,ㄅㄚ,3,13,巴,巴,1,2,208,2.32 ,85,1.929418926,51,5.31 ,13663,4.14 ,16,9,0.5625,0.76497749,0.809059364,0.645735997,1,2,2,13663,13663,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
3629,24,爸,ㄅㄚ,4,8,巴,巴,1,5,507,2.71 ,3935,3.594944737,738,258.59 ,5642,3.75 ,16,9,0.5625,0.76497749,0.809059364,0.645735997,3,5,1,5642,3935,1707,0.20 ,0.70 ,0.47 ,0.70 ,0.31 ,,
0,23,罷,ㄅㄚ,4,15,罷,能,1,5,1088,3.04 ,945,2.975431809,538,57.69 ,5642,3.75 ,3,1,0.333333333,0.270541082,0.236664162,0.300425354,2,5,1,5642,945,4697,0.20 ,0.17 ,0.29 ,0.17 ,0.26 ,,ㄆㄧ2(527)
0,20,霸,ㄅㄚ,4,21,霸,.,1,5,703,2.85 ,593,2.773054693,425,36.31 ,5642,3.75 ,.,.,.,.,.,.,1,5,3,5642,762,4880,0.60 ,0.14 ,0.24 ,0.14 ,0.43 ,,
0,21,灞,ㄅㄚ,4,24,霸,霸,1,5,2,0.30 ,1,0,1,0.00 ,5642,3.75 ,2,2,1,1,1,1,1,5,3,5642,762,4880,0.60 ,0.14 ,0.24 ,0.14 ,0.43 ,,
0,22,壩,ㄅㄚ,4,24,霸,霸,1,5,147,2.17 ,168,2.225309282,54,14.92 ,5642,3.75 ,2,2,1,1,1,1,1,5,3,5642,762,4880,0.60 ,0.14 ,0.24 ,0.14 ,0.43 ,,
0,11,巴,ㄅㄚ,5,4,巴,.,2,2,3239,3.51 ,4060,3.608526034,1519,295.90 ,7854,3.90 ,.,.,.,.,.,.,1,2,2,7854,7854,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
3631,12,吧,ㄅㄚ,5,7,巴,巴,2,2,603,2.78 ,3794,3.579097327,1714,209.94 ,7854,3.90 ,16,9,0.5625,0.76497749,0.809059364,0.645735997,1,2,2,7854,7854,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
3190,33,缽,ㄅㄛ,1,11,本,本,1,8,37,1.57 ,58,1.763427994,44,2.87 ,9055,3.96 ,3,1,0.333333333,0.119096509,0.119096509,0.283257654,5,8,1,9055,58,8997,0.13 ,0.01 ,0.01 ,0.01 ,0.09 ,,
0,25,啵,ㄅㄛ,1,11,皮,皮,1,8,1,0.00 ,5,0.698970004,4,0.00 ,9055,3.96 ,17,5,0.294117647,0.172436128,0.169030526,0.234406937,1,8,4,9055,4998,4057,0.50 ,0.55 ,0.45 ,0.55 ,0.45 ,a,101年rating後放回
0,26,波,ㄅㄛ,1,8,皮,皮,2,8,6149,3.79 ,4139,3.616895426,2046,293.60 ,9055,3.96 ,17,5,0.294117647,0.172436128,0.169030526,0.234406937,1,8,4,9055,4998,4057,0.50 ,0.55 ,0.45 ,0.55 ,0.45 ,,
3068,27,玻,ㄅㄛ,1,9,皮,皮,1,8,631,2.80 ,823,2.915399835,354,62.42 ,9055,3.96 ,17,5,0.294117647,0.172436128,0.169030526,0.234406937,1,8,4,9055,4998,4057,0.50 ,0.55 ,0.45 ,0.55 ,0.45 ,,
2014,28,菠,ㄅㄛ,1,12,皮,波,1,8,12,1.08 ,31,1.491361694,19,1.44 ,9055,3.96 ,2,1,0.5,0.020248204,0.018375815,0.316608933,1,8,4,9055,4998,4057,0.50 ,0.55 ,0.45 ,0.55 ,0.45 ,,
1866,31,剝,ㄅㄛ,1,10,彔,彔,1,8,306,2.49 ,535,2.728353782,348,27.70 ,9055,3.96 ,8,1,0.125,0.127684964,0.103082852,0.147198907,3,8,1,9055,535,8520,0.13 ,0.06 ,0.10 ,0.06 ,0.14 ,,
823,32,播,ㄅㄛ,1,15,番,番,2,8,2361,3.37 ,2631,3.420120848,1224,152.11 ,9055,3.96 ,14,2,0.142857143,0.418468406,0.43625259,0.256123351,4,8,1,9055,2631,6424,0.13 ,0.29 ,0.28 ,0.29 ,0.17 ,,
811,29,撥,ㄅㄛ,1,15,發,發,2,8,1402,3.15 ,833,2.920645001,545,55.54 ,9055,3.96 ,5,2,0.4,0.438767448,0.423379924,0.439274058,2,8,1,9055,833,8222,0.13 ,0.09 ,0.16 ,0.09 ,0.15 ,,
0,57,蔔,ㄅㄛ,2,15,,,2,19,66,1.82 ,169,2.227886705,88,7.61 ,35203,4.55 ,11,2,0.181818182,0.044815699,0.035422343,0.153608127,7,19,1,35203,169,35034,0.05 ,0.00 ,0.02 ,0.01 ,0.05 ,,
0,55,駁,ㄅㄛ,2,14,爻,爻,1,19,538,2.73 ,403,2.605305046,295,21.38 ,35203,4.55 ,1,1,1,1,1,1,5,19,1,35203,403,34800,0.05 ,0.01 ,0.04 ,0.02 ,0.06 ,,
0,43,白,ㄅㄛ,2,5,白,.,2,19,4657,3.67 ,9112,3.959613711,3483,574.29 ,35203,4.55 ,.,.,.,.,.,.,2,19,9,35203,29471,5732,0.47 ,0.84 ,0.61 ,0.71 ,0.51 ,,
0,46,百,ㄅㄛ,2,6,白,.,2,19,29031,4.46 ,16414,4.215214429,5635,1101.52 ,35203,4.55 ,.,.,.,.,.,.,2,19,9,35203,29471,5732,0.47 ,0.84 ,0.61 ,0.71 ,0.51 ,,ㄅㄞ3(78)；剔除錯誤讀音ㄅㄞ2(85)
3079,40,伯,ㄅㄛ,2,7,白,白,1,19,1811,3.26 ,2129,3.328175661,809,151.54 ,35203,4.55 ,16,7,0.4375,0.343306761,0.329761493,0.402789469,2,19,9,35203,29471,5732,0.47 ,0.84 ,0.61 ,0.71 ,0.51 ,,
